,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
pen,nel, ,mez,zo, ,del, ,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, 
 ,mez,zo, ,del, ,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier
ri,zo, ,del, ,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, 
no, ,del, ,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri
va,del, ,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no
 , ,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va
la,cam,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, 
 ,min, ,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la
ra,di, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau
@, ,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra
@,no,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@
tan,stra, ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@
t’ , ,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan
è,vi,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ 
 ,ta,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è
a,@,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, 
ma,mi, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a
ra, ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma
 ,ri,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra
che,tro,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, 
 ,vai, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che
po, ,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, 
co,per, ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po
 , ,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co
è,u,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, 
 ,na, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è
più, ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, 
 ,sel,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più
mor,va, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, 
te, ,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor
@,o,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te
ma,scu,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@
 ,ra,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma
per,@,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, 
 ,ché, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per
trat, ,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, 
tar,la, ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat
 , ,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar
del,di,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, 
 ,rit,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del
ben,ta, ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, 
 , ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben
ch’i’ ,via, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, 
vi, ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ 
 ,e,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi
tro,ra, ,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, 
@,smar,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai
di,ri,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@
rò,ta,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di
 ,@,@,ahi, ,quan,to, ,a, ,dir, ,qual, ,e,ra, ,è, ,co,sa, ,du,ra,@,e,sta, ,sel,va, ,sel,vag,gia, ,e, ,a,spra, ,e, ,for,te,@,che, ,nel, ,pen,sier, ,ri,no,va, ,la, ,pau,ra,@,@,tan,t’ ,è, ,a,ma,ra, ,che, ,po,co, ,è, ,più, ,mor,te,@,ma, ,per, ,trat,tar, ,del, ,ben, ,ch’i’ ,vi, ,tro,vai,@,di,rò
